participant_id	age	sex	group
sub-0307	70.0	female	n/a
sub-0308	n/a	male	n/a
sub-0309	n/a	male	n/a
sub-0310	36.0	male	n/a
sub-0311	48.0	female	n/a
sub-0312	37.0	female	n/a
sub-0313	54.0	male	n/a
sub-0314	80.0	female	n/a
sub-0315	40.0	female	n/a
sub-0316	30.0	female	n/a
sub-0317	66.0	female	n/a
sub-0318	n/a	male	n/a
sub-0319	70.0	female	n/a
sub-0320	49.0	female	n/a
sub-0321	51.0	female	n/a
sub-0322	66.0	female	n/a
sub-0323	36.0	female	n/a
sub-0324	42.0	female	n/a
sub-0325	n/a	female	n/a
sub-0326	39.0	female	n/a
sub-0327	52.0	male	n/a
sub-0328	50.0	female	n/a
sub-0329	10.0	female	n/a
sub-0330	53.0	female	n/a
sub-0331	48.0	female	n/a
sub-0332	n/a	female	n/a
sub-0333	51.0	female	n/a
sub-0334	n/a	female	n/a
sub-0335	7.0	female	n/a
sub-0336	45.0	female	n/a
sub-0337	37.0	female	n/a
sub-0338	84.0	female	n/a
sub-0339	43.0	male	n/a
sub-0340	21.0	female	n/a
sub-0341	48.0	male	n/a
sub-0342	n/a	female	n/a
sub-0343	44.0	female	n/a
sub-0344	n/a	male	n/a
sub-0345	35.0	female	n/a
sub-0346	11.0	female	n/a
sub-0347	n/a	female	n/a
sub-0348	50.0	female	n/a
sub-0349	36.0	female	n/a
sub-0350	75.0	female	n/a
sub-0351	27.0	female	n/a
sub-0352	n/a	female	n/a
sub-0353	64.0	male	n/a
sub-0354	39.0	female	n/a
sub-0355	60.0	male	n/a
sub-0356	17.0	female	n/a
sub-0357	64.0	female	n/a
sub-0358	72.0	female	n/a
sub-0359	28.0	female	n/a
sub-0360	n/a	female	n/a
sub-0361	n/a	female	n/a
sub-0362	55.0	female	n/a
sub-0363	38.0	female	n/a
sub-0364	56.0	female	n/a
sub-0365	38.0	female	n/a
sub-0366	16.0	female	n/a
sub-0367	n/a	male	n/a
sub-0368	n/a	female	n/a
sub-0369	59.0	female	n/a
sub-0370	40.0	female	n/a
sub-0371	28.0	female	n/a
sub-0372	34.0	male	n/a
sub-0373	58.0	female	n/a
sub-0374	70.0	female	n/a
sub-0375	14.0	male	n/a
sub-0376	44.0	male	n/a
sub-0377	n/a	female	n/a
sub-0378	58.0	female	n/a
sub-0379	41.0	female	n/a
sub-0380	n/a	female	n/a
sub-0381	n/a	female	n/a
sub-0382	34.0	female	n/a
sub-0383	37.0	female	n/a
sub-0384	n/a	female	n/a
sub-0385	61.0	female	n/a
sub-0386	41.0	female	n/a
sub-0387	61.0	female	n/a
sub-0388	n/a	female	n/a
